Expression,Contexte gauche,Contexte droit,Phrase
game, the , more," On the one hand, playing football has become a high-income
profession and the players are highly motivated; on the other hand, stronger
teams have higher incomes and therefore afford better players leading to an
even stronger appearance in tournaments that can make the game more imbalanced
and hence predictable"
game," the
",s in ," We show that over time, the
games in major leagues have indeed become more predictable"
game,e in-, even," In this work, we propose a deterministic decision tree-based
algorithm to automatically extract football events using tracking data, which
consists of two steps: (1) a possession step that evaluates which player was in
possession of the ball at each frame in the tracking data, as well as the
distinct player configurations during the time intervals where the ball is not
in play to inform set piece detection; (2) an event detection step that
combines the changes in ball possession computed in the first step with the
laws of football to determine in-game events and set pieces"
game,ball , by o," The proposed model demonstrated the power of GNN in the
football game by outperforming other DRL models with significantly fewer steps"
game,"ing, ", theo," The research challenges associated with predictive and
prescriptive football analytics require new developments and progress at the
intersection of statistical learning, game theory, and computer vision"
game,"cs
a ", chan," We illustrate that this duality makes football analytics
a game changer of tremendous value, in terms of not only changing the game of
football itself, but also in terms of what this domain can mean for the field
of AI"
game,"n of
",-theo," We review the state-of-the-art and exemplify the types of analysis
enabled by combining the aforementioned fields, including illustrative examples
of counterfactual analysis using predictive models, and the combination of
game-theoretic analysis of penalty kicks with statistical learning of player
attributes"
game,ball ,s are,"Statistical properties of position-dependent ball-passing networks in real
football games are examined"
game,ular , data," We show how even a very
simple model yields faithful approximations to the distribution of passing
sequences and chances of taking shots for English Premier League teams, which
we fit using a whole season of granular game data (380 games)"
game,ball ,s,"We propose a simple stochastic model describing the position-dependent
ball-passing network in football games"
game,ball ,s,"This paper develops a clustering algorithm for formations in team sports,
with a focus on football games"
game,e in-, perf,"Several performance metrics for quantifying the in-game performances of
individual football players have been proposed in recent years"
game,ring ,s con," Although the
majority of the on-the-ball actions during games constitutes of passes, many of
the currently available metrics focus on measuring the quality of shots only"
game,ring ,s,"
To help bridge this gap, we propose a novel approach to measure players'
on-the-ball contributions from passes during games"
game,t in-, thro,"In 2019, Rhoban Football Club reached the first place of the KidSize soccer
competition for the fourth time and performed the first in-game throw-in in the
history of the Humanoid league"
game,e in-, stat," For that
purpose, we model minute-by-minute in-game statistics of Bundesliga matches
using hidden Markov models (HMMs)"
game,"tial
",,"This paper considers the blocking or football pursuit-evasion differential
game"
game, the , of k," In this
paper the solution of the game of kind is provided: The Barrier surface that
partitions the state space into two winning sets, one for the pursuer team and
one for the evader, is constructed"
game,many ,s inv,"With the vast amount of data collected on football and the growth of
computing abilities, many games involving decision choices can be optimized"
game, the , allo," The data available allows us to compute with high
accuracy the probabilities of outcomes of decisions and the well defined points
system in the game allows us to have the necessary terminal utilities"
game, the , will,"For NCAA football, we provide a method for sports bettors to determine if
they have a positive expected value bet based on the betting lines available to
them and how they believe the game will end"
game,ball , anal,"In football game analysis, space evaluation is an important issue because it
is directly related to the quality of ball passing or player formations"
game,ball ,s of ," In particular, based
on real datasets comprising of data from 45 football games of the J1 League in
2018, we provide a detailed characterization of $ z_{1} $ and $ z_{2} $ in
terms of ball passing"
game,real , data," Moreover, a new type of field division approach and
evaluation of ball passing just before shoots using real game data are
discussed"
game,la's ,," We have first compared the
network organization of Guardiola's team with their opponents along one season
of the Spanish national league, identifying those metrics with statistically
significant differences and relating them with the Guardiola's game"
game,"all, ", situ," Given the number of oft omitted variables that impact on-field
results, such as play call, game situation, and opponent strength, findings
tend to be more anecdotal than actionable"
game,ideo ,s (e,"Deep reinforcement learning (DRL) has achieved super-human performance on
complex video games (e"
game,ideo ,", e"," In seeking to address these challenges,
we employ a football video game, e"
game,full ,", whi"," To the best of our knowledge, Tikick is the first
learning-based AI system that can take over the multi-agent Google Research
Football full game, while previous work could either control a single agent or
experiment on toy academic scenarios"
game,ball ,s are," The football games are usually recorded from multiple
sources (cameras and phones) and resolutions, not to mention, occlusion of
visual details and other artefacts (like blurring, weathering and lighting
conditions) which make it difficult to accurately identify features"
game,ship ,s bet,"American college football faces a conflict created by the desire to stage
national championship games between the best teams of a season when there is no
conventional playoff system to decide which those teams are"
game, the , is r,"Analyzing football score data with statistical techniques, we investigate how
the highly co-operative nature of the game is reflected in averaged properties
such as the distributions of scored goals for the home and away teams"
game, the ,s pla," Key words: Heuristic AlgorithmsThe Football World Cup as world's favorite sporting event is a source of both
entertainment and overwhelming amount of data about the games played"
game, the ,s pla," For this purpose, we apply the PageRank with restarts
algorithm to a graph built from the games played during the tournaments"
game,ball , is s," However, most of
the duration of a football game is spent away from the boxes, passing the ball
around"
game, the , of f,"In this paper, we study interaction dynamics in the game of football-soccer
in the context of ball possession intervals"
game, the , of f," We model the game of football as a
multi-stage game which is made up from a Bayesian game to model the pre-match
decisions and a stochastic game to model the in-match state transitions and
decisions"
game,y of , outc," Using this formulation, we propose a method to predict the
probability of game outcomes and the payoffs of team actions"
game,d in-, tact," Building upon
this, we develop algorithms to optimise team formation and in-game tactics with
different objectives"
game,stic ,"s, we"," Empirical evaluation of our approach on real-world
datasets from 760 matches shows that by using optimised tactics from our
Bayesian and stochastic games, we can increase a team chances of winning by up
to 16"
